FEN;move;first_eval;is_capture;move_impact
8/pp1k1ppp/1b5n/1N6/8/7P/P2Q2PK/5q2 b - - 3 29;d7c6;False;608;131
r1b1k1nr/ppp2ppp/3p4/4q3/2B1P3/B1Q5/P4PPP/R4RK1 w kq - 0 13;c3c2;False;169;159
r1b1k2r/ppp4p/3q2p1/2b1p3/2B1P3/8/P3Q1PP/RN3R1K w kq - 0 19;c4f7;False;80;112
r1bk3r/ppp2B1p/3q2p1/2b1p3/4P3/8/P3Q1PP/RN3R1K w - - 2 20;b1c3;False;7;65
r2q2rk/ppp4p/3p4/2b1nQp1/3pP3/2P2P2/PP3P1P/RNB3RK b - - 7 14;g5g4;False;278;103
r1bk3r/pppq1B1p/6p1/1N2p3/3bP3/8/P3Q1PP/R4R1K w - - 6 22;b5d4;True;290;109
r1b1k1nr/pppp1ppp/2n5/4P3/4P2q/2N5/PPPP2PP/R1BQKBR1 w Qkq - 1 6;g2g3;False;201;75
r2qk2r/ppp2ppp/2n1bP2/2b5/2pp4/5N2/PPP2PPP/RNBQR1K1 w kq - 2 9;f3g5;False;71;93
r1b1k2r/pp3ppp/3p4/2qn4/2B5/8/PBQ2PPP/R4RK1 w kq - 0 17;c2e4;False;437;212
r1bk3r/pp1q1B1p/6p1/2p1P3/3p4/8/P3Q1PP/R4R1K w - - 0 24;f1f6;False;172;82
r3k2r/pp3ppp/3pb3/2qn4/2B1Q3/8/PB3PPP/R4RK1 w kq - 2 18;a1d1;False;316;251
r1b1k2r/pppp1ppp/2n3qn/4P3/3PPB2/2N3P1/PPP3R1/R2QKB2 w Qkq - 3 10;f1d3;False;348;203
r1b4r/ppkq1B1p/5Rp1/2p1P3/3p4/8/P3Q1PP/R6K w - - 2 25;a1c1;False;188;64
r3k2r/pppq2pp/2n1N3/2bN4/2pp2P1/8/PPP2P1P/R1BQ2K1 w kq - 1 15;d1e2;False;194;142
r1bqkb1r/pppp1p2/2n4p/6p1/2Bpn3/5NB1/PPP2PPP/RN1Q1RK1 b kq - 1 8;e4g3;True;242;91
r1b1k2r/p1pp1ppp/2n3qn/1p2P3/3PPB2/2NB2P1/PPP3R1/R2QK3 w Qkq - 0 11;d1f3;False;312;208
r1bqkb1r/ppp2p2/2n4p/1B1p2p1/3p4/5NP1/PPP3PP/RN1Q1RK1 b kq - 1 10;f8c5;False;195;88
r1b2rk1/p1pp1ppp/2n3qn/1p2P3/3PPB2/2NB1QP1/PPP3R1/R3K3 w Q - 2 12;e1c1;False;312;86
r1bqk2r/ppp2p2/2n4p/1BbpN1p1/3p4/6P1/PPP3PP/RN1Q1RK1 b kq - 3 11;c8e6;False;204;144
rkb4r/p4R1p/1pq3p1/2p1P3/2Bp4/8/P3Q1PP/2R4K w - - 4 28;e5e6;False;380;243
r2q1rk1/pp3ppp/5n2/2bp1b2/1n6/1QN1PN2/PP2BPPP/R1B2RK1 w - - 8 11;a2a3;False;-30;256
r2qk2r/ppp2p2/2N1b2p/1Bbp2p1/3p4/6P1/PPP3PP/RN1Q1RK1 b kq - 0 12;b7c6;True;37;182
r2qk2r/p1p2p2/2B1b2p/2bp2p1/3p4/6P1/PPP3PP/RN1Q1RK1 b kq - 0 13;e8e7;False;-91;105
q6r/p1p1kp2/4b2p/2bp2p1/3p4/6P1/PPP3PP/RN1Q1R1K b - - 1 15;g5g4;False;-85;81
r1bqkbnr/pppp1p1p/2n5/8/2BPPpp1/5N2/PPP3PP/RNBQK2R w KQkq - 0 6;c2c3;False;-55;73
r6r/ppN1b1pp/3q2k1/6N1/3p1Pn1/7Q/PPP4P/R1B3K1 w - - 6 23;h3g4;True;727;244
r1bq1rk1/pp3ppp/2nb1n2/3p4/3P4/1QN1PN2/P3BPPP/R1B2RK1 w - - 1 11;c1b2;False;53;103
r1bq1b1r/ppppk2p/2n4n/7Q/3PPR2/2P5/PP4pP/RNB3K1 w - - 1 11;f4f8;True;311;311
