FEN;move;first_eval;is_capture;move_impact
2kr1b1r/ppp1nppp/2np4/8/3PPB1q/2N2K2/PPP1B1PP/R2Q3R w - - 3 10;f4e3;False;-50;56
2kr1b1r/ppp1nppp/2np1q2/8/3PP3/2N1BK2/PPP1B1PP/R2Q3R w - - 5 11;f3g3;False;-80;73
r1b2b1r/p5kp/5qp1/3Q4/1p6/8/PP1B1PPP/2R1R1K1 b - - 1 21;f6f7;False;-491;123
1k1r1b1r/ppp1nppp/2n2q2/3p4/3PP1B1/2N1B1K1/PPP3PP/R2Q3R w - - 2 13;e4e5;False;-72;70
2kr1b1r/Qpp2ppp/n3pn2/3P3q/5B2/2N5/PPP1NPPP/R3K2R w KQ - 1 11;a7a8;False;239;86
1r2b1k1/2r3p1/2pN3p/2R1p2n/3NP3/1P5P/2P3P1/4R2K w - - 0 33;d6e8;True;397;118
4r1k1/2r3p1/2p4p/2R1p2n/3NP3/1P5P/2P3P1/4R2K w - - 0 34;c5c6;True;298;286
Qnkr3r/1pp2ppp/4pn2/3P3q/1b6/2N1B3/PPP1NPPP/R3K2R w KQ - 5 13;e3a7;False;227;156
Qnkr3r/Bpp2ppp/4pn2/3q4/1b6/2N5/PPP1NPPP/R3K2R w KQ - 0 14;e1g1;False;271;193
3r1rk1/p2n1ppp/1p1q4/1Bpb4/P2P4/B7/2P2PPP/R2QR1K1 w - - 0 17;b5d7;True;117;117
5rk1/p2r1ppp/3q4/2pb4/P7/B7/2P2PPP/R2QR1K1 w - - 0 19;c2c4;False;319;119
1r5r/2pk1ppp/1pq1p3/3n4/1Q6/2N5/PPP2PPP/3R1RK1 w - - 0 20;c3b5;False;300;196
1r5r/2pk1ppp/1p2p3/1Nqn4/1Q6/8/PPP2PPP/3R1RK1 w - - 2 21;b4b3;False;139;88
r2q1knr/p1p2ppp/1bpp4/8/3PP1b1/5N2/P3NPPP/R1BQ1RK1 b - - 1 12;g8e7;False;-6;50
7r/ppp1n1R1/3r1k2/3p1p1p/3P1N2/2P2P2/PP3K1P/6R1 w - - 2 28;f4d3;False;294;67
6n1/6pk/3R3p/8/5K2/7P/6P1/8 w - - 10 50;g2g4;False;392;148
7r/1rp1kppp/1p2pn2/1Nq5/2P5/6Q1/PP3PPP/3R1RK1 w - - 3 24;f1e1;False;275;53
8/4n1pk/3R3p/8/5KP1/7P/8/8 w - - 1 51;h3h4;False;231;65
1b2R3/pr3kp1/8/2p2p2/2Np1P2/1P1P1KP1/2P4r/4R3 w - - 3 34;e1e2;False;249;169
8/4n1pk/3R3p/8/6PP/6K1/8/8 w - - 3 53;d6e6;False;310;71
1b6/p3rkp1/8/2p2p2/2Np1P2/1P1P1KP1/2P1R3/8 w - - 1 36;e2e7;True;99;99
5k2/4Rnp1/7p/5K1P/6P1/8/8/8 w - - 7 58;e7a7;False;480;111
r2qk2r/pp1nbppp/2pp1n2/4pP2/2B1P3/2N2Q1P/PPPP2P1/R1B1K2R w KQkq - 2 9;a2a3;False;51;78
6k1/R4np1/7p/5K1P/6P1/8/8/8 w - - 9 59;a7c7;False;480;236
8/ppp1n1R1/5k1r/r2pNp1p/P2P4/1PP2P2/5K1P/6R1 w - - 1 32;b3b4;False;592;100
R4n2/5kp1/7p/4K2P/6P1/8/8/8 w - - 21 65;a8a7;False;486;154
6k1/R5p1/4Kn1p/7P/6P1/8/8/8 w - - 27 68;e6f5;False;441;161
8/ppp1n1R1/r4k1r/3pNp1p/PP1P4/2P2P2/5K1P/6R1 w - - 1 33;e5d7;False;638;227
8/R5pk/5n1p/5K1P/6P1/8/8/8 w - - 29 69;a7e7;False;414;155
r1bqk1nr/pppp1ppp/2n5/b7/2BpP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 1 7;d4c3;True;57;114
r1b1k1nr/ppppqppp/2n5/8/2B1P3/2Q2N2/P4PPP/R1B2RK1 b kq - 0 10;f7f6;False;-63;58
r1b1k1nr/ppppq1pp/2n2p2/4P3/2B5/2Q2N2/P4PPP/R1B2RK1 b kq - 0 11;f6e5;True;-192;53
r1b1k1nr/ppp1q1pp/3p4/4n3/2B2P2/2Q5/P5PP/R1B1R1K1 b kq - 0 14;c8e6;False;-232;82
r3k2r/pp2bpp1/1qp2n1p/2n1pP1N/3pP3/PB1P1Q1P/1PPB2P1/R3K2R w KQkq - 6 16;h5g7;True;145;101
4rk1r/2pq1pp1/1bpp3p/p2nP2P/P2PQ1b1/R5N1/1B3PPN/5RK1 b - - 2 23;f7f5;False;10;82
r3k1nr/1p4pp/1p6/3pP3/8/4B3/P5PP/R3R1K1 b kq - 1 19;a8a6;False;-17;130
4rk1r/2pq2p1/1bpp3p/p2nP2P/P2PQpb1/R5N1/1B3PPN/5RK1 b - - 1 25;f8g8;False;88;214
r1bqk1nr/ppp2ppp/1bnp4/3P4/2B1P3/5N2/P4PPP/RNBQ1RK1 b kq - 0 9;c6e7;False;26;81
3r1rk1/p4pp1/2p1bq1p/7Q/3N4/2P3P1/P1P2P1P/R3R1K1 w - - 2 17;d4c6;True;59;90
4r1k1/1R4pp/r1n5/2BpP3/8/8/P5PP/5RK1 b - - 2 24;e8e5;True;-64;3935
4r1kr/2p3p1/1bpp3p/p2nP2P/P2PQpq1/5RN1/1B3PP1/5RK1 b - - 1 27;d5f6;False;-48;96
4r1kr/2p3p1/1bQ2n1p/p3p2P/P2PNpq1/5R2/1B3PP1/5RK1 b - - 1 29;g4e6;False;-57;51
6rr/pp2kp2/2p2b1p/4pP2/3pP3/Pq1P1Q1P/1P4P1/R1B2RK1 w - - 4 22;f3e2;False;-36;90
7r/2p4k/1b2r2p/p3p2P/P4R2/8/1B3PP1/4R1K1 b - - 0 34;h8d8;False;-82;63
2rq2k1/5ppp/1Q1p4/pp2pP1n/4P3/PP1P3P/1P2N1P1/5RK1 w - - 0 22;b6b5;True;115;84
8/pp2kp2/2p2b1B/4pP2/3pP3/P2r3P/1P4P1/R5K1 w - - 0 27;g1f2;False;-169;124
r1bqk2r/pp1n1pp1/2p1pn1p/8/1b1P4/2NB1N2/PPP2PPP/R1BQ1RK1 w kq - 2 9;c1e3;False;74;50
r1bq1r1k/ppp2p1p/1b5p/3P1n2/2B1N1N1/8/P4PPP/1R1Q1RK1 b - - 4 16;d8h4;False;45;260
8/pp2kp2/2p4B/4pP2/3pP2b/Pr5P/1P2K1P1/R7 w - - 4 29;a1b1;False;-221;70
8/2p4k/1b5p/p2r4/P4R2/2B2PK1/6P1/8 b - - 0 40;d5d3;False;-39;73
2r3k1/1q3pp1/3p1n1p/p4P2/3NP3/PP1Q3P/1P4PK/5R2 w - - 3 27;d4b5;False;135;109
r1b2r1k/1pp3np/1p3N1p/3P4/2B1N2q/6P1/P4P1P/Q4RK1 b - - 0 20;h4h3;False;-122;72
8/4kp2/8/1pp1pP2/p3P2b/P2p2rP/1PK3P1/4B1R1 w - - 0 35;c2d1;False;286;209
r3k2r/pbqn1p2/1p1bpn1p/2p3p1/1PPP4/3BBN1P/P2QNPP1/R4RK1 w kq - 0 15;d4c5;True;23;64
3r2k1/5pp1/7p/pN1p1P2/4n3/PP5P/1P4PK/3R4 w - - 2 31;d1d4;False;180;64
r1b2r1k/1pp3np/1p3N1p/3P1q2/4N3/6P1/P3BP1P/Q3R1K1 b - - 4 22;h6h5;False;-118;132
r1bq1rk1/ppppnpbp/2n3p1/1B6/3NP3/2N1B3/PPP2PPP/R2Q1RK1 b - - 5 8;f7f5;False;-43;57
r3k2r/pbqn1p2/4pn1p/2b3p1/2P5/3BBN1P/P2QNPP1/R4RK1 w kq - 0 17;f3d4;False;8;84
8/5p2/3k4/1p2pP2/p1p1P2b/P2p1R1P/1P4P1/3K4 w - - 4 39;g2g3;False;178;194
8/p4pp1/3kb2p/8/r4N2/P1P1KPP1/7P/R7 w - - 7 32;f4d3;False;76;52
3b4/5p2/3k4/1p2pP2/p1p1P3/P2p1RPP/1P6/3K4 w - - 1 40;h3h4;False;127;73
3b4/5p2/5P2/1p2p3/p1pkP2P/P2p1RP1/1P6/3K4 w - - 1 42;h4h5;False;181;93
3rk1r1/pbqn1p2/4pn1p/2b3p1/2PN4/4B2P/P1BQNPP1/R4RK1 w - - 4 19;c2a4;False;47;59
3r2r1/pbqnkp2/4pn1p/2b3p1/B1PN4/4B2P/P2QNPP1/R4RK1 w - - 6 20;f1d1;False;23;83
8/3k1pp1/7p/3p1P2/3Nn3/P6P/1P4PK/8 w - - 0 37;g2g4;False;221;102
r6k/1pp1r1np/1p3Nq1/3P1b2/4N3/5PP1/PQ2B2P/2R3K1 b - - 2 27;a8f8;False;47;60
8/5pp1/3k3p/3p1P2/3Nn1P1/P6P/1P5K/8 w - - 1 38;b2b4;False;138;56
r1bq1r1k/ppp3bp/2np2p1/8/2B2PP1/2N1B3/PPP2R1P/R2Q2K1 b - - 2 14;c8d7;False;108;116
5r1k/1pp1r1np/1p4q1/3P4/4N1P1/5P2/PQ2B2P/2R3K1 b - - 0 29;g6h6;False;55;51
8/5pp1/7p/1Pnp1P2/6P1/P3kN1P/6K1/8 w - - 1 42;f3e5;False;169;156
8/6p1/2N2p1p/1Pn2P2/3p2P1/P3k2P/6K1/8 w - - 0 44;c6a5;False;55;50
5r1k/1pp1r1np/1p6/3P4/4NqP1/Q4P2/P3B2P/5RK1 b - - 4 31;f4e5;False;173;74
8/6p1/5p1p/NPn2P2/3p2P1/P6P/4k1K1/8 w - - 2 45;g2g3;False;85;51
8/6p1/5p1p/NPn2P2/6P1/P2p2KP/4k3/8 w - - 0 46;a5c4;False;144;101
8/6p1/5p1p/1Pn2P2/2N3P1/P5KP/3pk3/8 w - - 0 47;c4d2;True;289;195
8/6p1/5p1p/1Pn2P2/6PK/P3k2P/8/8 w - - 2 49;b5b6;False;151;127
4rr1k/pppb2bp/2np1qp1/3B4/5PP1/8/PPP1NBRP/R2Q2K1 b - - 10 18;d7e6;False;207;75
rnbqk1nr/ppp2pb1/3p3p/8/2BPPpp1/5NP1/PPP4P/RNBQ1RK1 w kq - 0 8;f3e1;False;17;94
8/p1k2p2/7p/8/1KP3Pp/P4r2/1N6/3R4 w - - 2 42;b2d3;False;341;124
8/1n4p1/1P3pKp/5P2/P5kP/8/8/8 w - - 0 54;h4h5;False;163;405
4rr1k/ppp3bp/2npb1p1/3B2P1/5P2/8/PqP1NBRP/1R1Q2K1 b - - 1 20;b2a3;False;276;89
3rn2k/1pp1r2p/1p6/3Pq3/6P1/Q4PN1/P3B1KP/3R4 b - - 10 34;e8f6;False;118;188
3r3k/1pp1r2p/1p1q1n2/3P4/5PP1/6N1/PQ2B1KP/3R4 b - - 2 36;d6f4;True;-88;62
rn1q3r/pppkn1Q1/3p4/7p/2BPP3/2P3P1/PP6/RNB2bK1 w - - 0 15;c4f1;True;-19;74
rn4qr/pppkn1Q1/3p4/7p/3PP3/2P3P1/PP6/RNB2BK1 w - - 1 16;f1h3;False;49;56
r2k2r1/pppnn3/3p4/7p/3PPB2/2P3PB/PP6/RN4K1 w - - 2 19;b1a3;False;28;60
r2k2r1/ppp1n3/3p1n2/7p/3PPB2/N1P3PB/PP6/R5K1 w - - 4 20;h3e6;False;0;102
3r3k/7p/1ppr4/1p3R2/4N1P1/1B5K/P6P/8 b - - 1 44;d6h6;False;-157;100
3r3k/7p/1p5r/1ppB1R2/4N1P1/6K1/P6P/8 b - - 1 46;h6g6;False;-244;53
r2qk2r/ppp1npp1/1n5p/3pNb2/3P1P2/2PB4/P1P3PP/1RBQ1RK1 w kq - 1 12;d3f5;True;262;123
r3k3/ppp1P3/8/3n1B2/3P3p/N1P3r1/PP6/4R2K w - - 2 27;a3b5;False;-137;76
8/1p2kB2/8/8/1P2r2p/8/P2r4/5R1K w - - 3 38;f7b3;False;-483;105
3rr1k1/ppp2ppp/2p4q/8/4N1b1/1Q2P1P1/PPP1B2P/R3K2R b KQ - 0 16;e8e4;True;532;312
rn1qkbnr/1b1p1ppp/p3p3/1pp5/3PP3/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 0 6;d4c5;True;44;52
3r2k1/pQp2ppp/2p1b2q/8/4r3/4P1P1/PPP1B2P/R4RK1 b - - 0 18;e4e3;True;191;126
3r2k1/p1Q2ppp/2p1b2q/8/8/4r1P1/PPP1B2P/R4RK1 b - - 0 19;d8e8;False;485;449
r1bqk2r/1p2bppp/p1npn3/2p5/4PP2/2PPN3/PP2N1BP/R1BQ1RK1 w kq - 3 13;e2g3;False;274;102
4r1k1/p4ppp/2Q5/8/2b5/4rBP1/q1P2RKP/3R4 b - - 1 24;g7g6;False;66;484
4r1k1/p4p1p/2Q3p1/8/8/6P1/q1PRrRKP/8 b - - 2 27;a2e6;False;120;89
r3k2r/1bqpn3/p2bpp2/n5p1/Pp2P2p/1N1BB3/1PP1QPPP/R3RNK1 w kq - 0 17;e3d4;False;64;59
5k2/R4p2/p3r1p1/2P4p/8/6P1/5K1P/8 b - - 0 33;f8e8;False;80;50
r2q1rk1/pp1n3p/4b1n1/2ppPpp1/5P2/2P5/PPB1N1PP/R1BQ1R1K w - - 2 17;e2g3;False;152;82
1k6/3R4/4r1pK/p1P2p1p/7P/6P1/8/8 b - - 1 39;e6a6;False;78;74
2r1k2r/1pnb4/p1np1p2/2p4N/4PP2/2PP1B1P/PP5K/R1B2R2 w - - 1 25;f4f5;False;550;271
r2q2k1/p2n1r2/1p2b1n1/2ppPp1p/5Pp1/2P1B1N1/PPBQ2PP/R3R2K w - - 0 21;c2b3;False;337;190
2rk3r/1pnb4/p1np1p2/2p2P1N/4P3/2PP1B1P/PP5K/R1B2R2 w - - 1 26;h5f4;False;533;165
r2q2k1/p2n1r2/1p2b1n1/3pPp2/2p2Ppp/2P1B1N1/PPBQ2PP/R3R2K w - - 0 23;g3e2;False;353;256
r1b1kb1r/ppp1n1pp/2n2p2/1B1qp3/Q7/2P2N2/PP1P1PPP/RNB2RK1 b kq - 1 7;c8d7;False;66;57
r5k1/p3qr2/1p2b1n1/2npPp2/2pN1Ppp/2P1B3/PPBQ2PP/R3R2K w - - 4 25;d4e6;True;285;249
r3kb1r/pppbn1pp/2n2p2/1B1qp3/Q2P4/2P2N2/PP3PPP/RNB2RK1 b kq - 0 8;e5e4;False;9;53
2r1k2r/1b1p2q1/p4p2/4p3/PpB1Pp1p/7P/1PP1QPP1/3RR1K1 w k - 3 27;d1d2;False;218;527
r5k1/p4r2/1p2q1n1/2npPp2/2p2Ppp/2P1B3/PPBQ2PP/R3R2K w - - 0 26;a1d1;False;77;53
r1b1k2b/pp1p4/2n1p1p1/q1p2p2/3nP3/2NPB1P1/PPPQNPB1/R3K3 w Qq - 0 13;e3d4;True;208;189
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1PP2/3P1N2/PPP3PP/RNBQK2R w KQkq - 1 6;c2c3;False;-23;56
4k1r1/1b1p2q1/p4p2/4pQ2/Pp1rP2p/5P1P/1PPR2P1/4R1K1 w - - 1 31;d2e2;False;-318;125
3r2k1/p2r4/4q1n1/2ppPp2/5Ppp/1BP5/P2Q2PP/3RR2K w - - 1 30;d2e3;False;76;90
r1b1k2b/pp1p4/4p1p1/q4p2/1n1pP3/3P2P1/PPPQNPB1/RN2K3 w Qq - 2 15;b1a3;False;165;65
r1bqk1nr/ppp2ppp/2np4/2b1p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 0 7;e5d4;True;21;57
3r1rk1/ppp2ppp/2nq1n2/2b1pPB1/4P3/1BP2Q1P/PP4P1/RN2K2R w KQ - 3 13;b3c2;False;44;65
r1b5/pp3kb1/3pp2Q/q4p2/1n1p4/N2P2P1/PPP1NPB1/R4K2 w - - 2 19;h6h7;False;300;158
r1bq1rk1/ppppnpbp/2n3p1/1B6/3NPP2/4B3/PPP3PP/RN1Q1RK1 b - - 0 8;d7d6;False;77;129
3r1rk1/ppp2pp1/2nq1n1p/2b1pPB1/4P3/2P2Q1P/PPB3P1/RN2K2R w KQ - 0 14;g5c1;False;12;56
r1bqk1nr/ppp2ppp/1bnp4/8/2BPP3/5N2/PB3PPP/RN1Q1RK1 b kq - 2 9;c6a5;False;49;52
3r3r/ppp2ppk/2nq1n1p/2b1pP2/4P1P1/2P2Q1P/PPB5/RNB1K2R w KQ - 1 16;b1d2;False;139;79
4kb1r/1p4pp/pN6/3P1b2/1p3p2/1N2pP2/PPr1n1PP/R1B1R2K b k - 2 23;f8e7;False;446;131
r1bq1rk1/p1p3bp/2np2p1/3Q1p2/4PP2/2N1B3/PPP3PP/R4RK1 b - - 1 12;g8h8;False;35;79
3r3r/p1p2ppk/2nq1n1p/2b1pP2/1p2P1P1/1NP2Q1P/PPB5/R1B1K2R w KQ - 0 18;c1d2;False;101;141
r1b5/ppq3bQ/2np1k2/3Bpp2/2Np4/P2P2P1/1PP1NP2/R4K2 w - - 3 23;a1e1;False;612;146
r1bq1r1k/p1p3bp/2Qp2p1/5p2/4PP2/2N1B3/PPP3PP/R4RK1 b - - 0 13;c8d7;False;-29;63
3r3r/p1p2ppk/3q1n1p/n1b1pP2/4P1P1/1NP2Q1P/P1BB4/R3K2R w KQ - 1 20;e1c1;False;-14;117
3r3r/p1p2ppk/q4n1p/2b1pP2/2n1P1P1/1NP2Q1P/P1BB4/1K1R3R w - - 5 22;d2c1;False;-112;91
2rqr1k1/pp3ppp/1b1p2n1/n2P4/8/3B1PN1/PB1Q1P1P/2R2R1K b - - 0 19;c8c1;True;-106;75
7r/p1p2ppk/3r1n1p/4pP2/2n1P1P1/qNP2Q1P/P1B5/KR5R w - - 3 26;h1h2;False;-199;78
5r1k/2p1q1bp/3pb1p1/5p2/1r2PP2/2NQB3/PPP3PP/1R3RK1 b - - 4 18;e6c4;False;107;51
3qr1k1/pp3ppp/1b1p2n1/n2P4/8/3B1PN1/PB1Q1P1P/2R4K b - - 0 20;g6e5;False;-141;51
1r6/p1p2ppk/3r1n1p/n3pP2/4P1P1/qNPB1Q1P/P6R/KR6 w - - 7 28;b3a5;True;-301;190
3q1rk1/pp3ppp/1b1p4/nB1Pn3/8/5PN1/PB1Q1P1P/6RK b - - 4 22;f7f6;False;55;215
r1bqk2r/pp1n1ppp/2p2n2/2b1p3/2B1P3/2N2N2/PPPPQ1PP/R1B1K2R w KQkq - 2 8;d2d3;False;50;50
5r1k/2p3bp/3p4/5pp1/1P2qP2/3NB2b/P1PQ3P/4R1K1 b - - 1 24;g5f4;True;308;134
6rk/2p3bp/3p4/5p2/1P2qN2/4B2b/P1PQ1K1P/4R3 b - - 2 26;g7f6;False;234;117
6rk/2p4p/3p1b2/5p2/1P2qN2/4B2b/P1PQ1K1P/6R1 b - - 4 27;f6h4;False;126;149
6rk/2p4p/3p4/5p2/1P2qN1b/4B1Rb/P1PQ1K1P/8 b - - 6 28;h3g4;False;-39;405
r1bq1r1k/ppp2p1p/1b3NNp/3P4/2B5/8/P4PPP/R2Q1RK1 b - - 0 16;h7g6;True;188;56
r1b2rk1/pp3p1p/3ppp2/4n2Q/4P3/2qBB3/P1P3PP/R4RK1 w - - 0 17;e3h6;False;184;78
r3k1nr/ppp1qppp/4b3/3pP3/3P4/2P2Q2/P1P3PP/R1B1KB1R w KQkq - 1 10;f1d3;False;164;66
r3k1nr/pp2qppp/2p1b3/3pP3/3P4/2PB1Q2/P1P3PP/R1B1K2R w KQkq - 0 11;a1b1;False;236;59
r4rk1/3n1ppp/bqp2n2/2b1pN2/pp2P3/P2P1N2/BPP1Q1PP/R1B1K2R w KQ - 0 15;a3b4;True;92;53
r1bq1r2/ppp4k/1b4pp/3P1p2/2B5/2N5/P2Q1PPP/R4RK1 b - - 1 19;d8f6;False;109;54
r4rk1/3n1ppp/b1p2n2/2b1pN2/pq2P3/3P1N2/BPP1Q1PP/R1B1K2R w KQ - 0 16;c2c3;False;78;56
r1b2r2/ppp4k/1b3qpp/3P1p2/2B5/2N5/P2Q1PPP/R3R1K1 b - - 3 20;c8d7;False;144;131
8/2p2k1p/3p4/1P3p2/5Nbb/6R1/5K1P/8 b - - 0 36;f7e7;False;341;148
rnb1kb1r/ppp3pp/4q1n1/6B1/3Pp3/3B1N2/PPP3PP/R2Q1RK1 w kq - 0 12;d3e4;True;355;112
rnb1k2r/ppp3pp/3bq1n1/6B1/3PB3/5N2/PPP3PP/R2Q1RK1 w kq - 1 13;f3e5;False;322;123
3r1rk1/3n1ppp/bqp2n2/2b1pNN1/p3P3/2PP1Q2/BP4PP/R1B1K2R w KQ - 5 19;a2b1;False;124;154
5R2/pp1q3k/6pp/5p2/2B5/8/P4PPb/R6K b - - 0 28;h2e5;False;0;85
8/pR3Rbk/6pp/5p2/2Bq4/8/P4PP1/7K b - - 2 31;d4d1;False;0;434
r1b1k2r/pppn2pp/4q1n1/4P1B1/4B3/8/PPP3PP/R2Q1RK1 w kq - 1 15;d1h5;False;187;119
3r1rk1/3n1ppp/bqp2n2/4pNN1/1b2P3/p1PP1Q2/6PP/RBB1K2R w KQ - 0 21;c3b4;True;161;56
rnb2b1r/pp3kpp/1qp2p2/3p4/3P4/6N1/PPP1QPPP/2KR1BNR b - - 5 9;b8a6;False;53;93
8/1kp5/3p3p/1b6/4K1N1/6P1/8/8 b - - 1 44;b5c6;False;370;222
8/1kp5/2bp3p/8/5KN1/6P1/8/8 b - - 3 45;c6d7;False;144;68
8/1kpb4/3p3N/8/5K2/6P1/8/8 b - - 0 46;d7e6;False;92;53
3r1rk1/5ppp/b1p2n2/1qn1pNN1/4P3/3P1Q2/R2BK1PP/1B5R w - - 1 25;a2a6;True;366;221
r3knr1/ppp3pp/1q2b1n1/6BQ/4B3/7P/PPP3P1/3R1R1K w q - 0 20;d1d2;False;450;164
3r1rk1/5ppp/q1p2n2/2n1pNN1/4P3/3P1Q2/3BK1PP/1B5R w - - 0 26;d2b4;False;181;118
1r3rk1/5ppp/q1p2n2/2n1pNN1/1B2P3/3P1Q2/4K1PP/1B5R w - - 2 27;b4c5;True;188;532
r3knr1/1pp3pp/1q2b1n1/p5BQ/4B3/7P/PPPR2P1/5R1K w q - 0 21;b2b3;False;318;72
2kr1bnr/ppp2ppp/2np4/7q/3PPBb1/2N1KN2/PPP3PP/R2Q1B1R w - - 3 9;f1e2;False;33;58
r1bqk1nr/ppp2ppp/1b1p4/n5B1/2BPP3/2N2N2/P4PPP/R2Q1RK1 b kq - 4 10;d8d7;False;33;94
r3kb1r/p1pp1ppp/1pn4q/3nP3/3P4/5NB1/1PP2KPP/R2Q1B1R w kq - 3 14;d1e2;False;28;58
r6r/1pq2k2/2pb1pp1/3p1b2/p2P1N1p/4RQ1P/PPP1NPP1/1K4R1 b - - 1 22;a8e8;False;203;69
2kr1bnr/ppp2ppp/2np4/8/3PPB1q/P1N1K3/1PP1B1PP/R2Q3R w - - 3 13;b2b4;False;105;117
r3k2r/p1ppbppp/1pn4q/3nP3/3P4/5NB1/1PP1QKPP/R4B1R w kq - 5 15;e2e4;False;234;124
r3k2r/p1ppbppp/1pn1qn2/4P3/2BPQ3/5NB1/1PP2KPP/R6R w kq - 9 17;e4e2;False;131;51
N1bkr3/pp1p1ppp/2n2n2/8/1b6/2P4q/PP1NBP1P/R1BQK2R b KQ - 2 12;h3g2;False;359;285
4r3/1pq2k2/2pb1pp1/3p1b2/p2P1N1p/5QPP/PPP1NP2/1K4R1 b - - 1 26;c7a5;False;325;107
r3k2r/p1ppbppp/1pn1q3/4P3/2BP2n1/5NB1/1PP1QKPP/R6R w kq - 11 18;f2f1;False;183;660
4r3/1p3k2/2pb1pp1/q2p1b2/p2P1N1p/5QPP/PPP1NP2/2K3R1 b - - 3 27;a5a6;False;316;152
4r3/1p3k2/q1pb1pp1/3p1b2/p2P1N1p/2N2QPP/PPP2P2/2K3R1 b - - 5 28;b7b5;False;215;104
2kr1b1r/ppp2pqp/3p1nn1/1P4p1/3PP3/P1N3B1/2P1B1PP/R2Q1RK1 w - - 7 19;d1d2;False;348;120
r4k1r/pp3pp1/1bp4p/n2P4/8/2NB1P2/P4P1P/4Q1K1 b - - 0 21;h6h5;False;13;66
r1bqkb1r/1p1pnppp/p1n1p3/8/3NP3/2N3P1/PPP2P1P/R1BQKB1R w KQkq - 1 7;f1g2;False;87;69
N1bk4/pp1p1ppp/2n5/8/8/4B3/P3BPqP/3RKR2 b - - 0 18;g2h2;True;191;78
r4k2/pp3pp1/1b5r/n2pQ1Np/8/3B1P2/P4P1P/6K1 b - - 1 24;f8g8;False;0;64
N1bk4/pp1p1ppp/2n5/8/8/3RB3/P3BP1q/4KR2 b - - 1 19;h2e5;False;241;86
N1bk4/pp1p1ppp/2n5/4q3/5P2/3RB3/P3B3/4KR2 b - - 0 20;e5b8;False;111;57
r1bqk2r/1p1p1ppp/p1n1p3/8/1b2P3/2N1Q1P1/PPP2PBP/R1B1K2R w KQkq - 3 10;e1g1;False;48;54
2b1r3/5k2/q1pb1pp1/3p4/p2P1NPp/Pp2NQ1P/1PP2P2/2K3R1 b - - 0 32;b3c2;True;198;72
5rk1/pp3pp1/1bn4r/3Q2Np/2B4P/5P2/P4P2/6K1 b - - 2 27;c6d8;False;45;127
3n1rk1/1p3pp1/p6r/6Np/2BbQP1P/8/P4P2/6K1 b - - 2 30;d4f6;False;-61;53
2b5/5k2/2pb2p1/3p1pP1/p1qP3p/P4Q1P/1PN1rP2/2K1N1R1 b - - 4 36;f5f4;False;445;154
r1b1k2r/pppqnpb1/2np3p/4p3/2B1P1pP/P1NP2B1/1PPN1PP1/R2QK2R b KQkq - 1 11;h6h5;False;44;72
2b5/5k2/2pb2p1/3p2P1/p2Prp1p/P1P4P/2N2PN1/3K2R1 b - - 0 40;c8h3;True;483;210
8/5k2/2pb2p1/3p2P1/p2Prp1p/P1P2P1b/2N3N1/3K2R1 b - - 0 41;e4e8;False;335;117
7r/5k2/2pb2p1/3p2P1/p2P1p2/P1P2P1b/2N3N1/3K2R1 b - - 2 43;h8h5;False;256;116
8/5k2/2pb2p1/3p1bPr/pN1P1p2/P1P2P2/8/3KN1R1 b - - 6 45;f5d7;False;161;55
3n1r1k/4Qpp1/p4r2/3B1PNp/1p3P1P/2b2K2/P7/8 b - - 5 37;h8g8;False;-73;294
4k3/1p2np1p/4b1p1/1q6/8/B2R1B2/P2R4/4K3 b - - 5 31;f7f6;False;295;230
3n1rk1/3Q1pp1/p4r2/3B1PNp/1p3P1P/2b2K2/P7/8 b - - 7 38;g8h8;False;-42;52
r1b1k2r/pppq2b1/3p4/4pn1p/6pP/PB1P2B1/1PP2PP1/R2QKN1R b KQkq - 1 16;c7c6;False;216;126
8/3b4/2pbk1p1/3p2Pr/pN1P1p2/P1PN1P2/6R1/3K4 b - - 10 47;e6f5;False;130;80
r3kbnr/ppp2ppp/2np4/8/3PPB1q/2N2b2/PPP1K1PP/R2Q1B1R w kq - 0 8;g2f3;True;41;101
4k3/1p2n2p/4bpp1/1q6/8/B3RB2/P2R4/4K3 b - - 1 32;b5b1;False;3;75
8/3b4/2pb2p1/3p1kP1/pN1P1p2/P1P2P2/1NK3R1/7r b - - 14 49;h1a1;False;287;142
4k3/1p2n2p/1q1Rbpp1/8/8/B3RB2/P4K2/8 b - - 5 34;e7c6;False;19;264
4k3/1p5p/1qn1Rpp1/8/8/B3RB2/P4K2/8 b - - 0 35;e8f7;False;-235;82
N1k2bnr/pp3ppp/2np3q/8/3PP3/5P2/PPP1K2P/R2Q1B1R w - - 1 12;d4d5;False;229;83
5r1k/bp2r1pp/3p1p2/3Pp2q/1PPn1P2/Q5PB/1B5P/3R1R1K w - - 3 29;h3g2;False;253;110
8/3b4/2p3p1/2PP1kP1/1N3p2/5r2/2K3R1/8 b - - 0 54;f3g3;False;97;84
6k1/4R2p/1q3pp1/2p5/8/4RK2/P7/2B5 b - - 1 39;g6g5;False;-85;73
